head,action,tail
cos(A),A is not special angle,"Given angle is not a special angle, use special angles (i.e., 30, 45, 60, or 90) to decompose it."
sin(A),A is not special angle,"Given angle is not a special angle, use special angles (i.e., 30, 45, 60, or 90) to decompose it."
tan(A),A is not special angle,"Given angle is not a special angle, use special angles (i.e., 30, 45, 60, or 90) to decompose it."
cos(A),A = 0,cos0 = 1
cos(A),A = 30,cos30 = \sqrt(3)/2
cos(A),A = 45,cos45 = \sqrt(2)/2
cos(A),A = 60,cos60 = 1/2
cos(A),A = 90,cos90 = 0
sin(A),A = 0,sin0 = 0
sin(A),A = 30,sin30 = 1/2
sin(A),A = 45,sin45 = \sqrt(2)/2
sin(A),A = 60,sin60 = \sqrt(3)/2
sin(A),A = 90,sin90 = 1
tan(A),A = 0,tan0 = 0
tan(A),A = 30,tan30 = \sqrt(3)/2
tan(A),A = 45,tan45 = 1
tan(A),A = 60,tan60 = \sqrt(3)
cos(A),A = \pi/6,cos(\pi/6) = \sqrt(3)/2
cos(A),A = \pi/4,cos(\pi/4) = \sqrt(2)/2
cos(A),A = \pi/3,cos(\pi/3) = 1/2
cos(A),A = \pi/2,cos(\pi/2) = 0
sin(A),A = \pi/6,sin(\pi/6) = 1/2
sin(A),A = \pi/4,sin(\pi/4) = \sqrt(2)/2
sin(A),A = \pi/3,sin(\pi/3) = \sqrt(3)/2
sin(A),A = \pi/2,sin(\pi/2) = 1
tan(A),A = \pi/6,tan(\pi/6) = \sqrt(3)/2
tan(A),A = \pi/4,tan(\pi/4) = 1
tan(A),A = \pi/3,tan(\pi/3) = \sqrt(3)
tan(A),belongs to,tanA = sinA/cosA
cot(A) ,belongs to,cotA = cosA/sinA
csc(A),belongs to,cscA = 1/sinA
sec(A),belongs to,secA = 1/cosA
cot(A) ,belongs to,cotA = 1/tanA
sin(A),belongs to,sinA = 1/cscA
cos(A),belongs to,cosA = 1/secA
tan(A),belongs to,tanA = 1/cotA
(sin(A))^2,belongs to,(sinA)^2+(cosA)^2 = 1
(cos(A))^2,belongs to,(sinA)^2+(cosA)^2 = 1
(tan(A))^2,belongs to,(tanA)^2 = (secA)^2 - 1
(cot(A))^2,belongs to,(cotA)^2 = (cscA)^2 - 1
sin(A),A = -X,sin(-X) = -sinX
cos(A),A = -X,cos(-X) = cosX
tan(A),A = -X,tan(-X) = -tanX
csc(A),A = -X,csc(-X) = -cscX
sec(A),A = -X,sec(-X) = secX
cot(A) ,A = -X,cot(-X)  = -cotX
sin(A),A = 2\pi+X,sin(2\pi + X) = sinX
cos(A),A = 2\pi+X,cos(2\pi + X) = cosX
tan(A),A = 2\pi+X,tan(2\pi + X) = tanX
csc(A),A = 2\pi+X,csc(2\pi + X) = cscX
sec(A),A = 2\pi+X,sec(2\pi + X) = secX
cot(A) ,A = 2\pi+X,cot(2\pi + X) = cotX
sin(A),A = \pi+X,sin(\pi + X) = -sinX
cos(A),A = \pi+X,cos(\pi + X) = -cosX
csc(A),A = \pi+X,csc(\pi + X) = -cscX
sec(A),A = \pi+X,sec(\pi + X) = -secX
tan(A),A = \pi+X,tan(\pi + X) = tanX
cot(A) ,A = \pi+X,cot(\pi + X) = cotX
sin(A),A = 360+X,sin(360 + X) = sinX
cos(A),A = 360+X,cos(360 + X) = cosX
tan(A),A = 360+X,tan(360 + X) = tanX
csc(A),A = 360+X,csc(360 + X) = cscX
sec(A),A = 360+X,sec(360 + X) = secX
cot(A) ,A = 360+X,cot(360 + X) = cotX
sin(A),A = 270+X,sin(270+X) = -cosX
cos(A),A = 270+X,cos(270+X) = sinX
tan(A),A = 270+X,tan(270+X) = -cotX
csc(A),A = 270+X,csc(270+X) = -secX
sec(A),A = 270+X,sec(270+X) = cscX
cot(A) ,A = 270+X,cot(270+X) = -tanX
sin(A),A = 180+X,sin(180 + X) = -sinX
cos(A),A = 180+X,cos(180 + X) = -cosX
csc(A),A = 180+X,csc(180 + X) = -cscX
sec(A),A = 180+X,sec(180 + X) = -secX
tan(A),A = 180+X,tan(180 + X) = tanX
cot(A) ,A = 180+X,cot(180 + X) = cotX
sin(A),A = 90+X,sin(90 + X) = cos(X)
cos(A),A = 90+X,cos(90 + X) = -sin(X)
