head,action,tail
rigid motion,belongs to,"Any rigid motion can be described as a translation, rotation, or reflection in Euclidean geometry."
congruent figures,means,"Two figures are considered congruent if one can be obtained from the other through a sequence of rigid motions."
rotation over intersecting lines,belongs to,"The composition of two reflections over intersecting lines results in a rotation."
translation over parallel lines,belongs to,"The composition of two reflections over parallel lines results in a translation."
glide reflection,means,"The composition of a rotation and a reflection results in a glide reflection."
rigid transformation,belongs to,"A rigid transformation in geometry is a transformation that does not change the size or shape of a figure."
types of rigid transformations,belongs to,"The three main types of rigid transformations are translations, rotations, and reflections."
formula for a translation,means,"The formula for a translation is (x,y) → (x+a, y+b), where (a,b) represents the amount and direction of the translation."
rotation,means,"A rotation involves rotating a figure around a fixed point by a certain degree."
reflection,means,"A reflection is a transformation that flips a figure over a line of reflection."
translation,belongs to,"A translation is a transformation that moves every point of a figure the same distance and in the same direction."
coordinate rules for translations,means,"The coordinate rules for translations are (x + a, y + b) where a represents the horizontal shift and b represents the vertical shift."
translations,means,"Translations preserve the size and shape of the original figure, but not the orientation."
inverse of a translation,belongs to,"The inverse of a translation is another translation with the same magnitude but in the opposite direction."
translations,belongs to,"Translations can be performed on any type of geometric figure, including points, lines, and polygons."
property of rotations,means,"One property of rotations is that the distance between any two points on a figure remains the same after the rotation."
rotation formula,means,"The formula for a rotation of point (x, y) about the origin by angle θ is (x', y') = (x*cosθ - y*sinθ, x*sinθ + y*cosθ)."
composition of two rotations,means,"The composition of two rotations is another rotation, with the resulting angle equal to the sum of the angles of the individual rotations."
rotations,means,"A rotation is an isometry, meaning it preserves distance and angles, making it a rigid transformation."
angle of rotation,means,"The angle of rotation can be positive or negative, with a positive angle resulting in a counterclockwise rotation and a negative angle resulting in a clockwise rotation."
point reflection,belongs to,"The reflection of a point over a line is the same distance from the line as the original point."
line of reflection,belongs to,"The line of reflection is the perpendicular bisector of the segment connecting a point and its reflection."
point reflection over the x-axis,means,"The formula for reflecting a point (x,y) over the x-axis is (x,-y) and over the y-axis is (-x,y)."
point reflection over the line y=x,means,"The formula for reflecting a point (x,y) over the line y=x is (y,x) and over the line y=-x is (-y,-x)."
reflections,means,"Reflections preserve distance and angle measure, making them an isometry in geometry."
dilation,belongs to,"A dilation is a transformation that changes the size of a figure without changing its shape."
scale factor of a dilation,means,"The scale factor of a dilation determines how much the figure will be enlarged or reduced."
center of dilation,means,"The center of dilation is the fixed point about which the figure expands or contracts."
similar figures under a dilation,means,"The image of a figure under a dilation will always be similar to the original figure, meaning the corresponding angles are congruent and the corresponding sides are proportional."
performing dilations using coordinates,means,"Dilations can be performed using coordinates by multiplying the coordinates by the scale factor to find the new coordinates of the image."
distances and angles in a figure,means,"A rigid transformation preserves distances and angles between points in a figure."
size or shape of a figure,means,"Rigid transformations do not change the size or shape of a figure, only its position and orientation."
congruent figures,belongs to,"Two figures that are congruent can be transformed into one another through a series of rigid transformations."
proving geometrical properties,means,"Rigid transformations are essential in proving geometrical properties and theorems."
center of dilation,belongs to,"A dilation is a transformation that involves scaling a figure by a fixed ratio about a fixed point called the center of dilation."
angle preservation during dilation,means,"When a figure is dilated, the angle measure between any two intersecting lines is preserved, meaning the angles before and after dilation are congruent."
scaling factor in dilation,means,"The distance between any two points on a figure is scaled by the same factor as the sides of the figure during a dilation."
effects of scale factor in dilation,means,"If a figure is dilated by a scale factor greater than 1, then the image will be larger than the original figure."
shape preservation in dilation,means,"Dilation does not change the shape of a figure, it only changes the size of the figure by a proportionate amount."
types of transformations in geometry,belongs to,"Translations, rotations, reflections, and dilations are the four basic types of transformations in geometry."
congruence of a transformed figure,means,"The image of a figure after a transformation is congruent to the original figure if the transformation is an isometry."
similarity transformation,means,"A transformation that preserves angles but not necessarily lengths is called a similarity transformation."
representations of transformations,means,"Transformations can be represented by matrices, equations, or by using vector notation."
line of symmetry,belongs to,"The line of symmetry of a figure divides it into two equal halves that are reflections of each other."
symmetry in geometry,means,"Symmetry in geometry refers to the property that a figure remains unchanged when flipped, slid, or rotated."
symmetrical object,means,"An object is symmetrical if it can be divided into two equal parts that are mirror images of each other."
center of symmetry,belongs to,"The point of intersection of lines of symmetry in a figure is called the center of symmetry."
order of rotational symmetry,means,"The order of rotational symmetry of a figure is the number of times it can be rotated without changing its appearance."
distance and angle measures,means,"The rigid motion transformation preserves distance and angle measures between objects in geometry."
composition of transformations,means,"The composition of two or more transformations can be represented as a single transformation."
congruent figures,means,"Two figures are congruent if one can be mapped onto the other using only rigid motions."
properties of transformations,means,"The properties of reflections, rotations, translations, and dilations can be used to prove geometric theorems."
transformations proofs,means,"Proofs involving transformations often involve showing that one figure can be transformed into another through a series of defined transformations."
figures are congruent,means,"Theorem: If two figures are congruent, then their corresponding angles and sides are congruent as well."
Congruence transformations,means,"Property: Congruence transformations preserve angle measures, side lengths, and orientation of a figure."
